address,f1_contract_creation_time,f2_transaction_fee_spent_contract_creation,f3_percentage_gas_used_contract_creation,f4_gas_price_contract_creation,f5_first_contract_invoke_time,f6_last_contract_invoke_time,f7_active_duration,f8_total_invocations,f9_total_unique_invocations,f10_avg_gas_used_contract_invocations,f11_total_gas_price_contract_invocations,f12_avg_gas_price_contract_invocations,f13_total_tx_fee_contract_invocations,f14_avg_tx_fee_contract_invocations,f15_total_ether_contract_invocations,f16_average_ether_contract_invocations,f17_total_gas_used_contract_invocations,f18_avg_gas_used_contract_invocations,class
0x003eb9c77b5b896fcc27adead606d23def34510e,1636173593,3266079,100.0,72547219921,1636174226,1640401957,4227731,88,61,46096.0,10543273660407,119809927959.0,5322900,60487.0,0,0,4056463,46096.0,1
0x00bbd61f1f46bb2882e59af47b69dd7b501d5317,1599895831,1436718,100.0,77000000000,1600061504,1606645255,6583751,3,3,41178.0,196100000000,65366666666.0,182216,60738.0,0,0,123534,41178.0,1
0x0128e4fccf5ef86b030b28f0a8a029a3c5397a94,1598245046,3905623,66.66667520136991,63000000000,1598273279,1638516430,40243151,3159,1831,43217.0,538290501077085,170399019017.0,198252748,62758.0,102643703810000000000,32492467176321620,136525623,43217.0,1
0x0135c9a7bff72aa26e1d105ff5000e454e4dde7a,1538679649,2002904,85.02174842129229,41000000000,1538734262,1624903468,86169206,812,291,118913.0,17062958585000,21013495794.0,215890531,265875.0,181517977659053835437,223544307461888959,96558052,118913.0,1
0x016913ead5672f01de2043874e5c1cac5df608de,1582089609,520521,100.0,1000000000,1582090649,1634830631,52739982,648,304,40178.0,5142791470136,7936406589.0,44709838,68996.0,0,0,26035362,40178.0,1
0x02c60d28be3338014fef3fdf50a3218b946c0609,1538383196,165755,100.0,41000000000,1538385448,1548079089,9693641,1729,119,40916.0,23645848835535,13676025931.0,153033188,88509.0,318156712579456392125,184011979513855634,70744665,40916.0,1
0x02f4a464eebb46a50dd087074d7a2cf3f5a3598b,1519224020,1338259,100.0,2000000000,1519832143,1531091235,11259092,5,4,46411.0,25000000000,5000000000.0,1053914,210782.0,0,0,232055,46411.0,1
0x02fd82cba3bae39484d5eb7f75b5f3d5f418c691,1512483447,4161258,100.0,18100000000,1512865760,1544128376,31262616,145,88,41785.0,5947200000000,41015172413.0,19376343,133629.0,71950723345050000000,496211885138275862,6058963,41785.0,1
0x0513ce8013f27a47a0088ffaac94fbb0fe6309d8,1540030508,288909,100.0,4000000000,1540031854,1553072159,13040305,3,3,68509.0,14000000000,4666666666.0,289976,96658.0,20000000000000000,6666666666666666,205529,68509.0,1
0x064e2f3511f2399e86953de1acf54322bbdf9d2d,1538959892,1174170,100.0,3100000000,1544087839,1548864688,4776849,5,3,76352.0,22000000000,4400000000.0,7948306,1589661.0,204000000000000000,40800000000000000,381764,76352.0,1
0x0669398307efefb60030ff328a0cb6a3a840182c,1552046390,1744847,100.0,8000000000,1552046708,1555075010,3028302,42,11,44545.0,500733247232,11922220172.0,2726976,64928.0,87436305300125628000,2081816792860134000,1870931,44545.0,1
0x069a6761e9897ced3f5d13f4aa9ad745e526c913,1519303083,1338131,100.0,2000000000,1520102898,1529665345,9562447,5,4,46475.0,21000000000,4200000000.0,1054042,210808.0,0,0,232375,46475.0,1
0x06ad9bacc335d658550c3be1fd1a2972f0ed6efd,1594072927,864569,100.0,24000000000,1594073059,1597143751,3070692,7,8,42391.0,273999999998,39142857142.0,519086,74155.0,0,0,296738,42391.0,1
